,tags,words
0,-,-
1,-,-
2,-,-
3,*,Cual
4,*,es
5,*,la
6,*,definicion
7,*,de
8,tpco,dinero
9,-,-
10,-,-
11,-,-
12,-,-
13,-,-
14,-,-
15,*,Cual
16,*,es
17,*,la
18,*,definicion
19,*,de
20,tpco,recibo
21,-,-
22,-,-
23,-,-
24,-,-
25,-,-
26,-,-
27,*,Cual
28,*,es
29,*,la
30,*,definicion
31,*,de
32,tpco,referencia
33,-,-
34,-,-
35,-,-
36,-,-
37,-,-
38,-,-
39,*,Cual
40,*,es
41,*,la
42,*,definicion
43,*,de
44,tpco,monto
45,-,-
46,-,-
47,-,-
48,-,-
49,-,-
50,-,-
51,*,Que
52,*,es
53,tpco,dinero
54,-,-
55,-,-
56,-,-
57,-,-
58,-,-
59,-,-
60,*,Que
61,*,es
62,tpco,recibo
63,-,-
64,-,-
65,-,-
66,-,-
67,-,-
68,-,-
69,*,Que
70,*,es
71,tpco,referencia
72,-,-
73,-,-
74,-,-
75,-,-
76,-,-
77,-,-
78,*,Que
79,*,es
80,tpco,monto
81,-,-
82,-,-
83,-,-
84,-,-
85,-,-
86,-,-
87,*,Como
88,*,hago
89,*,para
90,acc,enviar
91,-,-
92,-,-
93,-,-
94,-,-
95,-,-
96,-,-
97,*,Como
98,*,hago
99,*,para
100,acc,recibir
101,-,-
102,-,-
103,-,-
104,-,-
105,-,-
106,-,-
107,*,Como
108,*,hago
109,*,para
110,acc,cambiar
111,-,-
112,-,-
113,-,-
114,-,-
115,-,-
116,-,-
117,*,Como
118,*,hago
119,*,para
120,acc,actualizar
121,-,-
122,-,-
123,-,-
124,-,-
125,-,-
126,-,-
127,*,Como
128,*,hago
129,*,para
130,acc,enviar
131,tpco,dinero
132,-,-
133,-,-
134,-,-
135,-,-
136,-,-
137,-,-
138,*,Como
139,*,hago
140,*,para
141,acc,recibir
142,tpco,recibo
143,-,-
144,-,-
145,-,-
146,-,-
147,-,-
148,-,-
149,*,Como
150,*,hago
151,*,para
152,acc,cambiar
153,tpco,referencia
154,-,-
155,-,-
156,-,-
157,-,-
158,-,-
159,-,-
160,*,Como
161,*,hago
162,*,para
163,acc,actualizar
164,tpco,monto
165,-,-
166,-,-
167,-,-
168,-,-
169,-,-
170,-,-
171,*,Como
172,*,hago
173,*,para
174,acc,enviar
175,*,UN
176,tpco,dinero
177,-,-
178,-,-
179,-,-
180,-,-
181,-,-
182,-,-
183,*,Como
184,*,hago
185,*,para
186,acc,recibir
187,*,UN
188,tpco,recibo
189,-,-
190,-,-
191,-,-
192,-,-
193,-,-
194,-,-
195,*,Como
196,*,hago
197,*,para
198,acc,cambiar
199,*,UN
200,tpco,referencia
201,-,-
202,-,-
203,-,-
204,-,-
205,-,-
206,-,-
207,*,Como
208,*,hago
209,*,para
210,acc,actualizar
211,*,UN
212,tpco,monto
213,-,-
214,-,-
215,-,-
216,-,-
217,-,-
218,-,-
219,*,Como
220,*,le
221,*,hago
222,*,para
223,acc,enviar
224,-,-
225,-,-
226,-,-
227,-,-
228,-,-
229,-,-
230,*,Como
231,*,le
232,*,hago
233,*,para
234,acc,recibir
235,-,-
236,-,-
237,-,-
238,-,-
239,-,-
240,-,-
241,*,Como
242,*,le
243,*,hago
244,*,para
245,acc,cambiar
246,-,-
247,-,-
248,-,-
249,-,-
250,-,-
251,-,-
252,*,Como
253,*,le
254,*,hago
255,*,para
256,acc,actualizar
257,-,-
258,-,-
259,-,-
260,-,-
261,-,-
262,-,-
263,*,Como
264,*,le
265,*,hago
266,*,para
267,acc,enviar
268,tpco,dinero
269,-,-
270,-,-
271,-,-
272,-,-
273,-,-
274,-,-
275,*,Como
276,*,le
277,*,hago
278,*,para
279,acc,recibir
280,tpco,recibo
281,-,-
282,-,-
283,-,-
284,-,-
285,-,-
286,-,-
287,*,Como
288,*,le
289,*,hago
290,*,para
291,acc,cambiar
292,tpco,referencia
293,-,-
294,-,-
295,-,-
296,-,-
297,-,-
298,-,-
299,*,Como
300,*,le
301,*,hago
302,*,para
303,acc,actualizar
304,tpco,monto
305,-,-
306,-,-
307,-,-
308,-,-
309,-,-
310,-,-
311,*,Como
312,*,le
313,*,hago
314,*,para
315,acc,enviar
316,*,UN
317,tpco,dinero
318,-,-
319,-,-
320,-,-
321,-,-
322,-,-
323,-,-
324,*,Como
325,*,le
326,*,hago
327,*,para
328,acc,recibir
329,*,UN
330,tpco,recibo
331,-,-
332,-,-
333,-,-
334,-,-
335,-,-
336,-,-
337,*,Como
338,*,le
339,*,hago
340,*,para
341,acc,cambiar
342,*,UN
343,tpco,referencia
344,-,-
345,-,-
346,-,-
347,-,-
348,-,-
349,-,-
350,*,Como
351,*,le
352,*,hago
353,*,para
354,acc,actualizar
355,*,UN
356,tpco,monto
357,-,-
358,-,-
359,-,-
360,-,-
361,-,-
362,-,-
