,tags,words
0,-,-
1,-,-
2,-,-
3,*,Cual
4,*,es
5,*,la
6,*,definicion
7,*,de
8,tpc,dinero
9,-,-
10,-,-
11,-,-
12,-,-
13,-,-
14,-,-
15,*,Cual
16,*,es
17,*,la
18,*,definicion
19,*,de
20,tpc,dinero
21,tpc,sucio
22,-,-
23,-,-
24,-,-
25,-,-
26,-,-
27,-,-
28,*,Cual
29,*,es
30,*,la
31,*,definicion
32,*,de
33,tpc,recibo
34,-,-
35,-,-
36,-,-
37,-,-
38,-,-
39,-,-
40,*,Cual
41,*,es
42,*,la
43,*,definicion
44,*,de
45,tpc,deposito
46,-,-
47,-,-
48,-,-
49,-,-
50,-,-
51,-,-
52,*,Cual
53,*,es
54,*,la
55,*,definicion
56,*,de
57,tpc,beneficiario
58,-,-
59,-,-
60,-,-
61,-,-
62,-,-
63,-,-
64,*,Cual
65,*,es
66,*,la
67,*,definicion
68,*,de
69,tpc,cuenta
70,-,-
71,-,-
72,-,-
73,-,-
74,-,-
75,-,-
76,*,Cual
77,*,es
78,*,la
79,*,definicion
80,*,de
81,tpc,cuenta
82,tpc,compartida
83,-,-
84,-,-
85,-,-
86,-,-
87,-,-
88,-,-
89,*,Que
90,*,es
91,tpc,dinero
92,-,-
93,-,-
94,-,-
95,-,-
96,-,-
97,-,-
98,*,Que
99,*,es
100,tpc,dinero
101,tpc,sucio
102,-,-
103,-,-
104,-,-
105,-,-
106,-,-
107,-,-
108,*,Que
109,*,es
110,tpc,recibo
111,-,-
112,-,-
113,-,-
114,-,-
115,-,-
116,-,-
117,*,Que
118,*,es
119,tpc,deposito
120,-,-
121,-,-
122,-,-
123,-,-
124,-,-
125,-,-
126,*,Que
127,*,es
128,tpc,beneficiario
129,-,-
130,-,-
131,-,-
132,-,-
133,-,-
134,-,-
135,*,Que
136,*,es
137,tpc,cuenta
138,-,-
139,-,-
140,-,-
141,-,-
142,-,-
143,-,-
144,*,Que
145,*,es
146,tpc,cuenta
147,tpc,compartida
148,-,-
149,-,-
150,-,-
151,-,-
152,-,-
153,-,-
154,*,Como
155,*,hago
156,*,para
157,acc,enviar
158,-,-
159,-,-
160,-,-
161,-,-
162,-,-
163,-,-
164,*,Como
165,*,hago
166,*,para
167,acc,recibir
168,-,-
169,-,-
170,-,-
171,-,-
172,-,-
173,-,-
174,*,Como
175,*,hago
176,*,para
177,acc,obtener
178,acc,exitosamente
179,-,-
180,-,-
181,-,-
182,-,-
183,-,-
184,-,-
185,*,Como
186,*,hago
187,*,para
188,acc,cancelar
189,-,-
190,-,-
191,-,-
192,-,-
193,-,-
194,-,-
195,*,Como
196,*,hago
197,*,para
198,acc,pagar
199,-,-
200,-,-
201,-,-
202,-,-
203,-,-
204,-,-
205,*,Como
206,*,hago
207,*,para
208,acc,enviar
209,tpc,dinero
210,-,-
211,-,-
212,-,-
